chapter_name,link,qns,ans
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-2031,Write24in words.,A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4288,Write44in words.,C
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4289,Write25in words.,A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4290,Write33in words.,B
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4291,Write56in words.,B
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4292,Write69in words.,C
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4293,Write78in words.,C
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4294,Write84in words.,A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4295,Write98in words.,C
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-1-learn-to-write-numbers-in-words-4296,Write80in words.,A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-2-learn-ordinal-numbers-up-to-100th-4298,"Pick out the cardinal numbers. 4 , 25 , 55 , 6th ",A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-2-learn-ordinal-numbers-up-to-100th-4299,"Pick out the cardinal numbers. 1 , 5 , 7 , 9th",B
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-2-learn-ordinal-numbers-up-to-100th-4300,"Pick out the cardinal numbers. 12, 33 , 44 , 15th",A
Whole numbers and comparing,https://www.singaporemathguru.com/question/primary-3-math-drills-worksheets-exam-papers-practice-chapter-1-whole-numbers-and-comparing-exercise-2-learn-ordinal-numbers-up-to-100th-4301,"Pick out the cardinal number. 44 , 50th",A
