chapter_name,qns
Counting and number patterns,Which image shows 5 tennis balls?
Counting and number patterns,How many cupcakes are there in the picture?
Counting and number patterns,Which image shows 2 less birds than 6 birds?
Counting and number patterns,Which image shows 6 balls?
Counting and number patterns,How many apples are there in Image C?
Counting and number patterns,Which image has 2 less dogs than 10 dogs?	 
Counting and number patterns,Which image has 2 less squares than 8 squares?
Counting and number patterns,Which image shows 5 monkeys?
Counting and number patterns,How many pencils are there?
Counting and number patterns,How many cats are there ?
Counting and number patterns,How many chairs are there in the picture?
Counting and number patterns,How many apples do you see in the picture ?
Counting and number patterns,How many cupcakes are there?
Counting and number patterns,Which image shows 19 pencils?
Counting and number patterns,How many elephants are there?
Counting and number patterns,How many fish are there?
Counting and number patterns,Which image shows 12 tigers?
Counting and number patterns,How many cats are shown in the image?
Counting and number patterns,How many blue squares are there ?
Counting and number patterns,Which image shows 9 sweets?
Counting and number patterns,"Refer to the image shown here.  _____ tens + _____ ones = 15  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)   "
Counting and number patterns,"Refer to the image shown here.  ____ tens + ____ ones = 3  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Refer to the image shown here.  _____ tens + _____ ones = 19  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6) "
Counting and number patterns,"Refer to the image shown here.  ____ tens + ____ ones = 22  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Refer to the image shown here.  ____ tens + _____ ones = 5  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6) "
Counting and number patterns,"Refer to the image shown here.  _____ tens + _____ ones = 24  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,"Refer to the image shown here.  _____ tens + _____ units = 26  (Note to students : If your answer is 2 tens and 9 ones, leave your answer as 2,9)"
Counting and number patterns,"Refer to the image shown here.  _____ tens + ______ ones = 29  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6) "
Counting and number patterns,Refer to the image shown here.  _____ tens  = 30   
Counting and number patterns,"Refer to the image shown here.  ______ tens + _____ ones = 27  (Note to students : If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
Counting and number patterns,How many squares are there?
Counting and number patterns,How many stars are there?
Counting and number patterns,How many hearts do you see in the image ?
Counting and number patterns,Count the number of apples.
Counting and number patterns,Count the number of thunder bolts.
Counting and number patterns,How many bananas are there?
Counting and number patterns,How many mangoes are there?  
Counting and number patterns,How many pineapples are there?
Counting and number patterns,Count the number of oranges.
Counting and number patterns,How many peaches are there?
Counting and number patterns,How many apples are there in the image?
Counting and number patterns,How many peaches are there in the image?
Counting and number patterns,How many birds are there?
Counting and number patterns,How many cupcakes are there?
Counting and number patterns,How many birds are there?
Counting and number patterns,Count the number of stars.
Counting and number patterns,Count the number of circles.
Counting and number patterns,Count the number of locks.
Counting and number patterns,How many keys are there?
Counting and number patterns,How many batteries are there?
Counting and number patterns,"Count the squares and fill in the blanks.  ____ tens + _____ ones = 53  (Note to students: If your answer is 2 tens and 6 ones, leave your answer as 2,6)"
